"","Freq","% Valid","% Valid Cum."
"(2,5]",27,22.3140495867769,22.3140495867769
"(5,8]",36,29.7520661157025,52.0661157024793
"(8,11]",28,23.1404958677686,75.2066115702479
"(11,14]",22,18.1818181818182,93.3884297520661
"(14,17]",8,6.61157024793388,100
"<NA>",0,NA,NA
"Total",121,100,100
